ratings,comments
5,Very Nice watch  
4,Awesome watch with great features ... luks decent and has very fine stylish not so complicated dial.flipkart delivery was quite fast and good ....enjoyed their service a lot.. i have been using it since 6 months and i havent faced any problem till now....  if any disadvantage it has i feel then it would be the elastic band which actually makes some marks on your hand which doesnt luks nyc .. XD and much more but that dont really matter for a watch at this range if you get something like this...  
5,"Cool watch, buy it without any doubt. you will be satisfied with performance. Looks good for my hand and less weight.  "
4,"Although it's a Japanese product,So it's a worthy buying it,u can go for it with closed eyes, very nice & durable strap & water resistant as well(  I've tested)nice looking & a Japanese brand which is boasting from last 3 decades in India, worth every penny;  Thanks.  "
5,Best in this price range  Trusted casio brand  Value for money  
4,Nice look ..  
4,Nice watch and good candition  
5,Nice watch ...... I gifted it to my dad and he really liked it  
4,looking good and comfortable  
5,"The watch look classy, trust me it is very good looking watch for college boys as well office men. only seller didn't give stamp and signature on warranty card,but when I contact Filpkart care they told me ,there is no need of stamp and signature on card. watch dial luster is so attractive.  "
5,❤️❤️❤️best with formals.  
5,The product are awesome ...  Nyc Dial with hard band.  
5,it was awesome product..  
5,loved the product... and the best thing is it looks much better in real than the picture in the site..  
4,comfortable at wrist..  
5,Nice look and nice product 👍👍👍👍👍👍  
5,I'm very happy and fully satisfied with the product quality and aesthetic of watch are quite good at this budget and I'll recommend you to buy after checking the size of your wrist or else I'll not suite you generally i size of around 40mm to 45mm watches are more preferable.  
5,Nice look  
4,good quality product.  
5,Classy watch at this price by Titan...  the best in budget.  
5,"This watch looks good in real as well. For those who have broad wrist, the dial might seem small. Overall the quality and the feel of the watch on the wrist is good.  "
5,"watch was really good, compact design as expected, if you go for a minimum budget phone I highly recomend this watch...  "
5,Excellent product by titan..  
5,just amazing it looks  
4,Good one  looks awesome  
5,good product  
4,nice watch git it fir my brother  n he likes it  only thing is dual size is small  if that would have been bigger  it would have been the best  
5,Good  
5,Comfortable and looking watch 👌 and delivery on time  
5,Nice.. My grandpa loved it  
5,The watch is quite simple yet classy and comfortable...  I would surely recommend it. It's a must buy!!  
3,There is no marking for 2 so I'm not happy with it  
4,Nice one...those who want simple watch can buy it..  
5,Nice watch  
5,Nyc watch....  
5,as expected  
5,very nice watch  
5,Superb watch.. a must buy for everyone..  
5,Amazing.....best in class.  
4,Nice watch...  
5,"awesome product , ....  "
5,Fabulous watch..it's for my father..he is very happy with the style and durability of the watch..dial size is perfect and blue dial colour adds more beauty to this watch..terrific purchase indeed..  
5,Superb 👌  
4,best and stylish watch for men. Nice product from casio. Go for it. It gives a stylish look for men.  
5,"This was a birthday gift for me from my wife. Thanks to her for this wonderful gift.  Now, about this watch, it is really nice. The blue background color is the usp of this watch, also the smooth curves. The dial is big, hence looks good on my wide wrist. It is a bit on the heavier side, not like those 1 mm thick watches, but, actually feels nice to wear.  The only con I would mention is that it does not glow that much in the dark, too faint. Not sure if it is a product fault or just my watch...  "
5,"Nice watch, gives a dashing look.....  "
5,Awesome watch. Best for men.  
5,I love this watch  
5,nice  
5,Nyc and original one. loved it 😘😘😘  
5,"I must say you wear this watch in any occasion people will ask about it.  This watch looks very sexy right from the box itself, i don't have to say anymore.  GO and BUY IT ...  Looks 5/  Works 5/  Price 5/  and hey it will glow under deep night  i got this watch from flipkart for 1721.  "
5,This is one of the best looking watch from Casio..Looks exactly like shown in this pic..Dial is absolutely fantastic.Quality is also good no doubt.Go for it.  
5,"Guys, I bought this from other watch studio, truly stylish watch under this price range. Attractive dial style & color. It also has date display. No one gives you better class than CASIO in this price range.Must buy...  "
5,superb quality and the design is also so royal and classy.. the product looks so owesome... and thanks flipkart for the fast delivery.. better quality than FastTrack watches in same price... after 8 month usage watch remains so shiny stainless and scratch rasistant  
5,nice watch at that price it's better than the Fastrack watches. casio is only for men and fastrack for the child.😁😁  
4,Nice watch  
4,Good Product  
5,Class!  
5,owsome product and looks good...  
5,Good quality......I luv this watch & stylist but dial so small.......  
5,"Excellent Watch , being a casio fan I have to admit it that CASIO is the BEST !  I wanted something elegant and classy and sort of stylish chain watch for my papa , found it to be best watch in my range..very satisfied by Flipkart service , awesome keep it up  "
5,looks good in hand  best for formal usage  
5,great watch at this price  
5,"Bought this watch in big billion day, received in just 2 days, packing was good. Superb watch. Love it. Can adjust the strap as per requirement. Got it as expected. Thanks flipkart!  "
5,Awesome Watch  
4,Good watch. Dial colour is awesome. The design of chain is little bit old style. overall rating is good... 5.5 out of  
5,Super nice watch  
5,Nice look  
4,Good looking  
5,Awesome watch  
5,As same as picture  
5,Colour is not perfect  
5,Loved it 😍😍  LOVE YOU FLIPKART 🔥🔥🔥🔥  I believe in Flipkart and they never let me down 😍😍😍  
5,Nice  
4,Nice product  
4,Very nice product  
5,Super  
5,Super  
5,Nice  
5,Nice product.....  
5,I l am very happy with this product  
4,Good product  
5,Nice 🙂  
5,Nice 👍  
5,So beautiful &good product 🤩  
3,Nice watch  
5,Fell like a expencive 🥰😊  
4,Good product  
5,Wonderful watch  
5,Looking cool  
1,Your watch ⌚ has stopped we do not need such a watch  
5,Very nice products good  
5,I love this watch but delivery was late  
1,Colour is being disappear with in 15 days  
4,Looking very nice and beautiful  
1,Hate it dont buy day and date key not working properly  
5,Nice product  
5,Excellent💯👍  
5,It was awesome gift for my dad's birthday  
5,gifted to my father.he just loved it!! it's awesome.very nice watch.i just love Titan.😘thanks to Flipkart  
5,good.  
5,very nice  
5,Very good  
5,Best product  
5,Lookung awesome. Such a nice watch. Gifted to my lovely Dad. My dad is happy with this watch. Thanks flipkart  
4,"gifted to my father, he is very very happy... tnku flipkart😘😘😘  "
5,excellent  
4,awesome product I'm satisfied. lite wait  
4,Very Good  
5,Very good product  
5,"I m purchased to gift my father,... Its too good. And so nice in looking.  "
5,Supeb  
5,Good  
5,A Gift for my father..  
5,I present to my dad for wedding anniversary and he like so much... Thank you flipkart  
5,Very nice  
5,I gifted to my dad and he is really very happy. Look wise nice and shining is pretty cool  
5,Best best best ever for a girl  
5,very nyc  
5,classy n sturdy. goes well with formal attire  
4,looks nice .original product .My husband liked it very much .  
3,Not bad  
5,Thanks🌹😊❤ Flipcard  
5,Nice and classy..also suitable for women and easily adjustable.  
5,Nice product.🥰🥰  
5,very nice  
4,Good looking. Very simple  
5,amazing product in this price range..  
5,Me and My friends got same type of watch. Superb and worth of money. We are very happy.  
5,Fabulous watch it's very nice and very good Quality. it's Awesome product.  
5,beautiful watch amazing experience there are words that is awesome quality was very good  
4,watch is Amazing look classy & sporty  thanks for right time delivery  I m very this service  
5,"Got it on 12.03.2020, using it for more than 7days!  Asper my opinion this is the best watch at this price range! I m impressed with its looks and features!  And all 5 keys works well!!!!  "
5,ohh what a watch it is.. seriously it's out f my expectation.. features wise design wise look wise everything b perfect fr me..nd d most imp thing is d price f ds watch which is absolutely amazing.. speechless..nd if anyn wanna want 2 buy d sm nd he is lil bit doubts dn i suggest i recommend ds person plz go nd order ds spectacular watch hurry otherwise u'll definitely miss a good opportunity..hr m wanna gng 2 say abt d gd features f ds watch..1st f Al lk wise it's absolutely fantastic..it's ...  
5,This watch look like a luxury..... very beautiful watch.....all buttons are clearly working and display was good looking and light also.... great product.... thanks Flipkart 🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩  
4,looks and design is super . we can't see the time display in bright sun light and also in lighted room...we can see the time with the help of light present in the watch....  every time if you want to see the time you need to touch the light button present in the clock...  overall the product is worth for its price simply go for..  
5,Awesome product Quality at reasonable price... Loved it.. 😍👌Light of the watch is little bit dim... But its Ok..👍  
5,"Really looking good. comfortable, design was superb, nice watch. thank you flipkart 👍👍  "
5,"A very attractively designed wrist watch in this segment (price and style) , also lite weight. Material is good. Goes with any attaire you carry. Loved it really. Thank you Flipkart : )  "
5,fabulous wrist watch at this price if you buy this so go for it.  
5,Awesome. lowest Cost. Best Watch. Best Quality. I like and love it ?  
4,This watch is awesome but not for thin guy..  if you have a little bit mussel in your hand then this watch is best watch for you....  I really like this watch....  
5,just go for it. you will love it  
5,awesome  
3,I'm satisfied with dis product nd I have received a genuine product of dis co.My overall review is good and fantastic with dis product. I would like to thanks flipkart online shopping.  
5,I get this product only of 499 .  But it gives a look like 3k-4k price of watch.  Good quality at less money.  Awesome look. Comfortable .  Really good. Go for this product .  I love this product.  
4,Awsome product...quality and look is really great...  
5,"As shown in the image, and after all other good feedbacks, i ordered this watch and trust me, it is really good watch, looks are so good and it feels good. A lil disappointed with rubber band should have been denim cloth, i would loved it more as i love it now... Good value for money a must buy watch. Go for it guys, total timer was set just unbox and wear it.. Thank u again and again flipkart..  "
4,Best quality nice colour 👌 👌👌  
5,good product  
5,Good Quality Product ? ?  
4,Nice qualities  
5,Worth for money  
5,Gud product  
4,Beater product  
4,Good product for this prize  
5,nice working  gooooood  
5,Superb watch from fogg. Good quality product for the given price. Premium looks. Trustworthy manufacturer. Good deal to go for if you are planning to buy a watch.  
4,Value for money  
4,good  
4,Good product love it 😍👍  
5,Really good watch looks stylish and like branded one  
5,Awesome feeling nice watch  
5,Nice Product..  
4,It's good.  
5,Good watch . It is better than titan watch that costs 10000 k . Very classy and excellent product .  
5,Awesome just love it  Go for it worth of money 😍😘😄😊  
4,Nice and beautiful watch worth of money.... thanks a lot Flipkart for this amazing product  
4,nice product🥰  
5,Just awesome Product  BEST F-I-V-E FEATURES I've noticed....  1).Nice Look  2).Nice Style and fittings  3).Perfect Product (as shown in display)  4).Full stainless steel body.  5). Nicely Packed with Warranty Card  . Delivery Boy's service awesome.  From: Durgapur  
5,nice  
5,Nice watch  
5,Nice product . Everything which is shown is always buy in this prodict.  
5,This is one of the best watch thank u flipkart for this wonderful watch  
5,best watch at this price  
5,Good Product and Nice watch  
5,Nice look  
3,super  
5,Nice product but the length of the steel belt shuld be little bit more otherwise the product is really good 👍  
3,"Cost is cheaper (350+40 Rupees). But it doesn't look like new one. I can see scratches on watch and packing seems like very old. Look wise good but machine may not, as I experienced hard while changing time and date using right side scroll.  "
4,nice watch  
2,it's a good product & superb looks  
5,Nice watch quality is very good  
5,amazing product look like gorgeous but delivery. time delay pantaanga  
5,good looking watch  
5,best  
4,good for daily use.. finishing is not so fine but good product as per the price..  
5,Nice watch  
5,This is a good watch for formal and casual wear.  
5,believe me in this range you are getting very premium and slim watch.  specially 41mm edge to edge big Display.  
5,Wonderful Product ⌚  
5,The watch is super. Exactly like shown in image and also value for money  
5,"This is the forth Timex watch am purchasing  And trust I have never been dissapointed I just love Timex and it's been a while I bought a watch I think 2 years back and the shade is still perfect not much Change,, this is what a product should be like  Am happy for what they are doing  "
5,"Loved it, value for money ❤️  "
5,Good at this price point.  
5,Very good product value for money thanks Flipkart  
5,Good product  
4,Expectable product.i like it  
5,"Great Watch, I am happy and proud with it.  "
5,Nic product  
4,Good  
5,One of the best watch within average price.. Everything looks good  
5,Amazing watch  
3,Value for money. owsome and descent look  
5,"I bought it for my man, and he loved it😍, don't hesitate to buy, just go for it. It's very light and stylish watch, and trust me in this price u will get a premium watch🥰  "
4,Nice watch  
4,Amazing watch 😍  
5,Slim and stylish 🤩  
5,Absolute gorgeous...Value for money..  
4,Exllent Flipcard card service and product bi Very Very happiness service and Product  
5,Classic look gentlemen feel  
5,"good looking watch . At this price, can't ask for more.  "
5,"The watch looks classic with a big dial and silver chain, but its a little heavy, you will definitely feel something heavy on your wrist.  "
4,"Numeric and hands should be visible more. If it is, 5 star would have been given to all questions.  Bracelet is nice and it's so big  For 759/-, it's completely worth in all aspects.  Thanx 😉  "
5,Nyc look and Quality  
4,"Great watch, looks beautiful but weight is not so much i wanted a much heavier watch.. but in the price range it does its job.  "
4,Nice product  
5,"I like very much , Dial is so nice  "
4,It's A Nice watch.You Can Pair with Your Favourite Blue Shirt/tshirt.Can Use Occasionally. Definitely an AddOn to Your Watch Collection  
5,Very nyc products  
4,I'm sure that it will met your expectations...🤩👌👌  
5,"First impression of the watch was great  considering the pricepoint it gives the best design and quality.  It can be wear with casual as well as formal outfit  the strap quality could be better, it is synthetic kind of material.  Dial is wow, so sleek and thin about 21mm in diameter and thickness is also great and light weight  But happy with this minimilistic looking watch  wait to see how it runs on my daily usage  and will post long term usage after a month  gives a thumbs up if u like the review.  "
4,very very good watch  
5,Fantastic  
5,As Expected!  
5,nice watch..just rupee 199 superb product  
5,super  
5,I love this watch looks are good.. quality was good perfect product as I saw in flipkart  
4,"looking fabulous, nice watch , light weight, good straps.  in specifications they saying strap material is leather but i don't think it's genuine leather i think it's synthetic leather  but overall it's nice at this price. Hoping it will run one year they give one year warranty.  "
5,Nice look.....👍👌  Super design ♥️👌  Thanks flipcart speed delevery 😍  After use more review  
5,nice  
5,amazing 👌 👌 super lovely i love this watch to goood 😍♥️💖  
4,Good product  
5,Nice quality Watch ⌚ Dilvery Fast So Very Happy 😊 Very Nice Look Nice product Lo price So Thanks Flipkart Is Nice App For Buying Product  
5,Everything is good  
3,nice watch  
5,I am amazed by the quality of this watch for the price I paid. It looks fantastic with that blue dial. It came in a nice box with manual and sponges. You cant get anything better for this price!  
5,I am amazed by the quality of this watch for the price I paid. It looks fantastic with that blue dial. It came in a nice box with manual and sponges. You cant get anything better for this price!  
5,Good Design  Good Looks  Good Quality  
3,nice watch  
4,watch is nice in this price... thanks flipkart  
5,Just wow🤩🤩🤩🤩🤩🤩  
5,Nice 👍  
5,Very nice product with good quality  
5,Very nice product thanks for flipkart...  
5,Very very super watch sized is Big  
4,It's a awesome wrist watch in this price. Highly recommended.  
5,Nice product I love  
5,I have gifted this to my hubby on his birthday 🥰🥰 he just loved it😘😘  
5,He loves this watch soooo much 🤩  
4,Best watch for gift❤️must buy for jiju😂😂  
5,"I love this Watch after Looking this.. I love the Watch & Ordered the Watch & then i Received this in 2 days & when i open that up.. I was really Impressed by the Look & Quality of the product the Watch is Very Comfortable to wear & it's not too light nor to Heavy it's Perfect . I really appreciate Timex for this Watch & i have full trust on Timex my Dad also wear the Timex Watch since 3 years & the watch still looks like the new .. I'll recommend this Watch to all, go for it It's Worth every...  "
5,Good  
5,This is a perfect watch. Premium Quality. Value for money 💰.  
4,Nice look  
5,"i bought the one with blue color dial.. it's a DARK navy blue shiny material on dial .. really very sober and beautiful .. dial has got a good diameter and an apt weight .. looks really good.. satisfaction 100%  NOTE: THE DIAL COLOR LOOKS SLIGHTY DIFFERENT FROM DIFFERENT ANGLES BECAUSE OF THE MATERIAL USED, WHICH ADDS GRACE TO THE PRODUCT  "
5,Good and the price of this is also very good you can take it without thinking  
4,Solid product at this price. I got it in 529 rs...and delivered in 24 hrs in malegaon Maharashtra. I m happy thanks Flipkart  
5,"Vary nice watch, value for money 👍👌😍  "
3,Nice looking  
5,"I used the watch last six months, really I am happy 😊 to buy the watch ⌚. Any interest people to buy the watch go and buy don't panic and doubt it's really amazing watch ⌚.... Enjoy 😌🙂  "
1,"I got watch in good condition when I opened from packet. After two days, my brother saw some moisture inside of watch's glass suddenly. No damage happened after opening package. So something was wrong in watch. It may be possible that glass is not air tight. I am unable to return it because I gifted to my brother and I came back to my home town next day.  "
5,The watch is decent. Works pretty well. Looks very attractive.  
4,Go for the black color dial only! It looks so classy! Worth every penny..! Quality is excellent  
5,"Very good looking and awesome watch😀, after wearing this watch is looks premium quality. 💕 thanks Flipkart🙏  "
5,"In simple words Excellent product,,,,it won't disappoint you😇  "
5,Osm and nice comfortable 😘🤗  Outstanding 😍  
5,I m really happy & satisfied to hv such watch at this price.. It is very sober & very rich looking as the image shown.. & I really fall in love with flipkart for their service & products.. Go for the watch..  
5,Best quality product in budget. And very good to gift 🎁 this hand watch.. Very comfortable to use this product.. Thank you Flipkart  
5,Best watch in this price.  Personally I Love this watch  This is a budget watch.👍  And this is comfortable to wear  
5,I love  
4,I am sharing my experience after 6 months of purchase.The was looking good and working perfectly fine but the major problem is the belt i.e strap it is not having that much quantity apart from strap everything is good  
5,Satisfied  
1,Watch is not working given for service and worst experience from flipkart. Especially seller has sent unworthy product with out checking who had dispatched the material in unethical way waste of time not interested return or fight with this unethical business people. There is no negative points in case I would put the least number pathetic ....... Don't buy  
4,Thanks flipkar so good looks and good quality  
5,Very good products  
4,I got a product with 1 minor scratch. The scratch is not visible only seen with a very caring look .. The product is osm I like it. It gives different level of feel. The scratch is too minor to be always seen so it's good... But flipkart had to overview this and improve it  
5,Gifted this piece to someone special.. and he liked it very much .. classy piece indeed..  
5,It is my best ever watch I ordered online.  
5,"The Titan watch exudes timeless elegance and precision craftsmanship. Its sleek design seamlessly blends sophistication with functionality, making it a statement accessory for any occasion. The attention to detail is evident in every element, from the meticulously crafted dial to the seamlessly integrated bracelet. The quality of materials used ensures durability while maintaining a lightweight feel on the wrist. The precision of the timekeeping is unparalleled, reflecting Titan's commitment ...  "
5,Good quality product  
5,Simple Good  
5,Very Classy and formal.  And very comfortable.  Must buy it  
4,"Nice watch, review after using approx 3 months..  "
5,good  
5,Nice...  
4,I gifted this watch to someone and it really looks very elegant on hand.... I highly recommend this watch... Worth of money  
5,Nice product  
5,Good  
4,Good product  
5,Looking nice  
4,product is good  
5,"Good product at this price range, look wise premium and fantastic. Must buy....  "
5,It is one of the best watch for men  
5,Good  
5,I Love It  
4,Very nice  
3,Nice watch titan  
5,Very good quality and best design product  
5,Super  
5,CLASSY LOOK  
5,One of my best ordered watch in Flipkart  
5,Osm... Go for it  
5,Outstanding 😍  
5,Very good 😊  
3,The belt is very bad and small too  
4,It is so stylist so good  
5,It's just wow. I gifted it to my father in law. And he was so happy for that. Thank u flipkart..  
5,nice product.. trusted brand... prise is good ... feel good  
5,"The watch is good looking dressy watch. I have small wrist and the watch small, so it fits perfectly to my wrist. I love it. But no idea about how long it gonna last, for now it's working fine and look fabulous.  "
5,Osm product  
5,"very nice watch.  designed,looks,material good.  "
5,good product  
5,Watch is very nice.  
5,fab  
5,Superb quality 💖  
5,verry good  
5,verry good product  
4,My father like this watch so much.... Thank you Flipkart 😚😚  
5,"Worth for money, Gifted to my Dad for Diwali. he felt vey happy for that and watch also looks good thanks to Flipkart and Titan..... Watch looks better than pics on Flipkart. bought for 1700/- during sale. Elders can wear not for youth.  "
5,😃 Nice  
5,"Gifted to my uncle. It had filled enthuse with it's antique elegance. Price worthy, quality product.. Big Hi-Fi  "
5,I have ordered this watch during the big billion days and got it delivered within 4 days. The watch looks preety nice also has a good shine on it. It only shows the date. The built quality is also nice. over all the watch is good.  
5,Good  
4,good quality  
5,Good one. . . And delivery is too fast 👍👍  
5,"Got delivery today, Titan is the name of branded watch, so I purchased for long term service .watch is looking good now.  "
5,Stylish cool design. Love it. Very nice. Fast delivery.  
5,Best watch for college student and professional job worker but not sure about waterfront or not because in description it's says it's waterrasistance so not sure overall GOOD  
5,Very good ..given as shown😃😃  
5,beautiful watch I like  
5,nice......  
5,super quality  
5,ggod looking... excelent for everyday use.. formal & stylish too! perfect watch at reasonable price!! go for it!  
5,Really Awesome Watch....  
5,my father love this....awsm watch delivery is too fast genuine product thnxx flipkart  
5,Great product...quality worth money...I bought it for my husband and he loved it as his birthday gift.😘😘  
5,Nice watch  
4,"Its nice and decent watch in its segment, size, look & class ! Very classic and smooth touch by Sonata !  Thanks  "
5,Product is good but packaging is not good.  
5,"Nice product, thank you Flipkart  "
4,lovely 👌  
5,"Good fit,go to order 😊🤗  "
5,Great product with great look's & design.....  
4,Nyc watch  
5,Nice looking  
4,Nice 👍🏿👍🏿👍🏿👍🏿  thanks to seller  
5,Awesome  
5,Very nice  
4,Nice.  
3,Very best product really I am so happy you believe this watch  
5,Looking good nice product  
4,Good sonata  
4,Good product and quality is also good  Thank u Flipkart  
5,Nice  
5,I like it product but service are very worst  
5,Good watch ⌚  
4,Good product and quality is also good  Thank u Flipkart  
3,Nice  
5,Nice watch'  
5,🙂 nice...  
5,It's the best watch.... If you are confused to buy it or not I'll say GO AHEAD.. You won't Regret anymore.  
4,Good product  
1,Dial is sooooo small .....  
5,"good look,  "
5,Very nice product  Beautiful watch  
4,The product is pretty good. And value for money also. In this price range the watch is suitable. But the one thing I want to mention... The dia of the watch is small than shown in the advertise  
5,Cool  
4,Nice look  
5,Awesome  
5,Looks awesome. Feels awesome. Value for money 👌  
1,Don't buy this useless watch this is totally defect watch I replaced it 3 times and everytime I got defected watch no worth of money bad experience  
3,very good  
4,it's looking very cool...  
5,Nice super quality 👍👍  
5,Good product  
5,nice quality product it was very good and feels very comfortable and looks very cool  
5,amazing look  
4,worth to buy... good quality.. nice working condition...  
5,No 1 fantastic product  
4,Beautiful 🥰  
5,Such A perfection With this Timewear Watch  Galouring One.  Special Thanx to Flipkart Speed up Dilivery  Time means Alot 💕💕  
5,better than other  
5,very nice very good  
5,Same as picture  
5,It looks amazing. I love it. If looking for a low price sports watch with various features then go for it.  
5,"Thank you flipkart for superfast delivery well before the commitment date and the product also looks good.  Received product only, So I will write review regarding product after some days of usage.  "
4,Nice product  ???  
5,nice  
5,Superb  
5,Awesome looks  
4,Good one with respect to money..but don't know its durability..just purchased 1 month before..  
5,very nice  
4,Good product  
5,Nice packaging product is toooooo good  
5,watch in loose  
5,"Nice item, I like 👍  "
5,"The watch is good, in the picture i thought the strap color is black but it is actually gun metal grey. Overall good, lets see in the long run.  "
5,"One of the best timex watch under 5 thousand rupees.If you don't tell the actual price,no one can tell that it is under 5 k catagory. It looks like a 10k watch.But stocks are always low,if you get a chance to buy this model,just go for it.I love this watch from my heart.thank you Flipkart and timex  "
5,Very premium product  Colour of watch is superb .  Value for money  Recent manufacturing 08/2  Packing was outstanding  
5,Awesome product  Look wise 5/  Feel wise 4/  Value for money product  
5,"First I am thankful for the filpkart to this wonderful offer. And the Timex watch is a good design,a value of money,thanks Timex watch groups and thanks once again to Filpkart.  "
5,Best in this price  
5,Stylish and value for money. Go for it!  
5,"got watch today ,Watch is great with classy look  Delivery and packing is too good to say  "
5,Excellent 👌  
5,Superb look .. It's worthy for this money.. Grand look. Colour is awesome  
5,Superb look .. It's worthy for this money.. Grand look. Colour is awesome  
5,"Product Quality, Packaging, Delivery everything is excellent.  One more thing color is gun metallic not black but yeah you should definitely go for it.  It's not that heavy like CASIO but I must say it really looks elegant and classy.  "
3,"This is the initial impression i just opened I got a little disappointed because the package, there is no laminate on the dial nor on strap though there were no scratches and got the same product that i offered but it increases a little doubt about the product however it's a decent watch  "
5,Its a really good value for money product. I loved it  
5,"Absolutely gorgeous.  For 2K, it's a steal.  The quality and the build is top notch..  The date and day adjustment mechanism seem to be of little less quality.  Overall it's absolutely worth...  Thanks Flipkart and Timex...  "
4,The quality of watch is top notch. It's design and features are so good and it's look and feel is also good. Overall it's value for money you can go for it 👍  
5,It is nice and looks premium. Go for it.  
5,Little heavy but feels premium  
4,"This is a one the best timepiece according to price ,looks n quality....if u ppl ever get a chance to have this never ever miss d chance to grab it.....TOTALLY FAB 👌🏻👌🏻👌🏻  "
4,Amazing watch in this price range  
5,Its good go for it  
5,Very premium product  
3,"Watch Design is very good but the craftsmanship of watch is very low. dust visible underneath of watch glass and some cloth fiber visible. because of this watch availablity is very short that's why i am keeping this watch.  All dials are working, the date dial will change after 12:02 am and the day dial will change after 2:40am in night.  "
5,Suprb....  
5,Nice one without any doubt u can choose  
5,Good Product  Nice Quality  
5,Good quality and value for money product 🥰  
5,The best just go for it  
5,Just go for it... Its perfect  
5,"Value for money, just go for it.  "
4,Very nice 👌  
5,Nice product nice quilety nice battery nice company nice colour iam very happy excellent  
4,Very nice watch  
5,The watch is very good and the price is also good it is also beautiful to look i hope all people take this watch  
5,#Jordar jabardast good product 👌👌👌👌👌  
5,Exactly as the picture  
5,Worth for money 💰  
5,Very good quality watch at such a cheaper price range.  Just go for it blindly !!!!  
5,Very nice watch i like this product  
5,Nice  
5,Very nice 😍😍😍😍 watch  
5,I loved the product  
3,Value of money  
5,Very nice  
5,Everything is perfect... I like this watch  
5,Good looking stylish watch valuable price.  
5,Super design  
5,Very nice product 👍  
5,Wow just amusing watch 😍it's pocket friendly and quality just ousam🥰i love it  
5,It is awesome.  
3,Good  
3,Nice👍 product  
5,As like image  
5,Really awesome  
5,Ow awesome  
5,"I like this watch limestone, feel like comfort  "
5,Wonderful product love so much  
4,Nice  
5,Super watch  
1,It come to rust very quickly around after 3 month  
5,Nice look  
4,Good looking  
5,Awesome watch  
5,As same as picture  
5,Colour is not perfect  
5,Loved it 😍😍  LOVE YOU FLIPKART 🔥🔥🔥🔥  I believe in Flipkart and they never let me down 😍😍😍  
5,Nice  
4,Nice product  
4,Very nice product  
5,Super  
5,Nice  
5,Nice product.....  
5,I l am very happy with this product  
5,Nice 🙂  
5,Nice 👍  
4,Good watch  
5,So beautiful &good product 🤩  
5,Fell like a expencive 🥰😊  
5,Nice watch received ..Very Good  
3,Nice watch  
4,Good product  
5,Wonderful watch  
5,Looking cool  
1,Your watch ⌚ has stopped we do not need such a watch  
5,Very nice products good  
5,I love this watch but delivery was late  
1,Colour is being disappear with in 15 days  
4,Looking very nice and beautiful  
1,Hate it dont buy day and date key not working properly  
5,Nice product  
5,WORTH FOR MONEY  AWESOME BUILT QUALITY  STUNNING LOOK  
5,thanks FasTrack I really love this watch it's looks diesel brand  
4,Very good product i really like it  
5,"Its so cool ,, happy to use kind of product.. love this watch fom my heart...😎  "
5,Good quality...strap looks really good....super look....awesome product from FasTrack....hope that this will last long...  
5,I am happy for this  
4,Nice..  
4,loved it  
5,awesome  
5,Awesome and superb I love it...  -Worth of money  -$tylish  -quality also good  - It was big size does not matter that was suitable to hand  Thankq flipkart and fastrack.....  
5,"i've been using this watch for almost half an year now, i take this watch for swimming and even i dont remove it while bathing....its like a part of me now...cant even imagine a day without it, its screen is not scratch friendly...thats the only problem with it, but u can absolutly manage it for sure  "
5,really nic product i lik it  
5,Quality is damn gud .. and fit perfectly ..!  
5,"Good Quality and awesome watch., if you are looking for a branded watch with good price range than you must buy it. watch color is amazing. happy by buying this watch. ?  "
5,"The watch is great at this price point ,the dial is a bit big but suits me and the watch strap us super comfortable  "
5,wow Awesome  
5,digital watch... it's fantastic  
5,excellent product  
5,good quality watch and I like it very much  it's look perfect in hand good product  pinne onnum parayaanilla pwolichu  
5,awesome product from Fast-track. Quality of watch is superb and feel is so good. in this price best deal and light is lil dim but you can manage. I would recommend to go for this without even second thought.  
3,Worthy  
5,It' is really good watch  
4,The strap is not comfortable but this price of view It's number one in quality  
3,"Watch look good, but day is not working, I can't change it, only date is working.  "
5,Material good  
5,Love this 😊  
4,Good 👍  
5,"Light weight, easy to use not so weighted and best design, brownie belt looks so beautiful 🤩 ...  Thanks to Flipkart for the fastest delivery and thanks to the seller also....  "
4,Nice watch  
4,Good product thank you Flipkart  
1,Watch is not good waste of money don't buy not working properly this is so poor  
5,Excellent quality but no water resistance  
4,Good 👍  
3,Quality Product  
4,Nice watch  
5,"Very good product in this price, must buy, thanks flipkart 👍  "
5,Good product  
4,Good product thank you Flipkart  
5,Good product  
5,This is very best 👌 product  
5,Product is nice  
4,Product is absolutely nice but glass is weak  
4,Nice  
3,"Good , but dial quality could be batter  "
5,Very nice watch  
4,Waterproof mixer  
5,Bahut khub very good👍  
4,Look is very good  
1,Waste many  
4,Superb 👌  
5,Wow 😲😲😲 nice product  
5,Nice product  
4,Gd  
5,Nice worthble product  
5,Very very Look prity  
5,best product  
5,Nice product  
4,Very nice 👍  
5,Very good  
5,This product is value for money  
5,Nice product  
5,Nice watch  
3,Nice and is more. Weight nice and affordable as well  
5,Good product  
4,Nice  
5,Wonderful watch I am happy  
4,Thank you flipkart  Super product  
5,This product is worth buying. Satisfied  
5,Better than expected.very nice product.just love it  
4,Watch is amazing in this budget  
4,good quality and awesome look  
5,Awesome watch at this price point.. must buy for watch lovers  
5,Exact fit on my wrist and awesome feel in my hand bcoz of Titan Octane.  Really beautiful watch with smooth finishing.  Dial and material is of next level performance.  Overall happy with the purchase as my purpose is fulfilled.  
